		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  240  245  230  239  237  247  267  237  3.713971 0.881964 SUCCESS   0
000000011  228  233  225  248  249  223  252  228  6.594908 0.580901 SUCCESS   1
000000101  272  265  242  215  250  270  246  226 13.140564 0.107104 SUCCESS   2
000000111  260  226  214  256  229  221  268  244 12.551667 0.128235 SUCCESS   3
000001001  228  230  235  232  237  247  229  255  4.642862 0.794976 SUCCESS   4
000001011  235  278  220  230  231  248  247  248  9.417589 0.308302 SUCCESS   5
000001101  242  243  242  228  237  266  226  247  4.814447 0.777212 SUCCESS   6
000001111  235  235  241  258  238  228  254  244  3.236287 0.918666 SUCCESS   7
000010001  251  272  220  255  242  262  231  264 10.235267 0.248900 SUCCESS   8
000010011  224  253  270  237  230  234  224  270 10.933258 0.205510 SUCCESS   9
000010101  260  226  258  248  233  223  250  258  6.715653 0.567599 SUCCESS  10
000010111  235  242  225  224  224  231  237  232  6.921131 0.545166 SUCCESS  11
000011001  225  259  249  238  257  264  250  245  5.272007 0.728147 SUCCESS  12
000011011  211  247  246  227  244  281  276  239 16.117884 0.040724 SUCCESS  13
000011101  253  256  228  260  219  249  233  258  7.215580 0.513562 SUCCESS  14
000011111  252  243  236  276  251  241  255  239  5.706266 0.680096 SUCCESS  15
000100011  253  266  219  249  267  253  230  245  8.535303 0.382999 SUCCESS  16
000100101  220  250  248  247  250  250  263  239  4.623796 0.796924 SUCCESS  17
000100111  226  263  252  222  226  240  234  260  8.203783 0.413822 SUCCESS  18
000101001  245  271  237  225  245  239  244  222  7.016456 0.534858 SUCCESS  19
000101011  278  217  250  239  245  241  240  228  9.454660 0.305404 SUCCESS  20
000101101  247  270  233  231  204  250  224  250 12.955209 0.113400 SUCCESS  21
000101111  214  265  226  217  222  235  259  242 13.583296 0.093294 SUCCESS  22
000110011  250  258  251  236  225  249  294  244 13.630958 0.091906 SUCCESS  23
000110101  254  220  232  220  244  251  201  240 14.119235 0.078710 SUCCESS  24
000110111  241  241  257  218  241  246  258  251  4.748778 0.784059 SUCCESS  25
000111001  244  221  264  263  233  234  222  254  8.894361 0.351286 SUCCESS  26
000111011  265  255  236  254  234  283  214  262 15.075663 0.057691 SUCCESS  27
000111101  229  223  247  238  259  225  225  243  7.095894 0.526323 SUCCESS  28
000111111  240  231  244  239  237  240  230  250  2.191948 0.974554 SUCCESS  29
001000011  238  255  230  237  262  274  250  240  7.073651 0.528708 SUCCESS  30
001000101  240  258  275  256  241  236  235  244  6.197720 0.625095 SUCCESS  31
001000111  235  256  242  256  283  260  234  231 10.201373 0.251176 SUCCESS  32
001001011  231  251  270  265  279  242  270  233 14.145714 0.078046 SUCCESS  33
001001101  228  232  234  247  271  225  232  216 10.777561 0.214624 SUCCESS  34
001001111  236  253  272  263  245  254  250  252  6.240086 0.620358 SUCCESS  35
001010011  213  263  219  233  240  254  280  238 14.909374 0.060932 SUCCESS  36
001010101  244  240  264  271  225  230  234  275 11.673617 0.166371 SUCCESS  37
001010111  264  250  261  251  223  222  235  233  8.068210 0.426836 SUCCESS  38
001011011  255  270  243  247  225  255  232  242  6.070620 0.639322 SUCCESS  39
001011101  261  236  262  241  248  237  231  254  4.302869 0.828816 SUCCESS  40
001011111  237  228  236  252  236  248  258  235  3.370801 0.908982 SUCCESS  41
001100101  210  234  277  264  274  242  253  255 16.255576 0.038865 SUCCESS  42
001100111  260  233  248  231  240  245  275  234  6.933841 0.543787 SUCCESS  43
001101011  266  266  222  219  224  257  223  240 13.183990 0.105674 SUCCESS  44
001101101  231  275  254  248  229  278  251  226 12.668175 0.123788 SUCCESS  45
001101111  223  232  237  226  270  280  278  243 17.276614 0.027354 SUCCESS  46
001110101  248  244  221  221  256  210  253  261 11.666202 0.166730 SUCCESS  47
001110111  251  247  244  235  226  281  234  225  9.724748 0.284879 SUCCESS  48
001111011  239  226  246  247  247  226  233  257  4.206484 0.838030 SUCCESS  49
001111101  269  234  202  264  290  273  275  248 28.798240 0.000344 FAILURE  50
001111111  243  234  267  239  211  276  241  251 11.962769 0.152873 SUCCESS  51
010000011  241  223  257  256  235  254  220  249  6.564192 0.584297 SUCCESS  52
010000111  235  255  243  241  247  238  229  241  2.105096 0.977619 SUCCESS  53
010001011  208  253  250  250  222  209  241  242 13.516568 0.095269 SUCCESS  54
010001111  234  225  248  246  265  263  263  245  6.930664 0.544132 SUCCESS  55
010010011  244  226  225  238  241  235  253  217  6.945492 0.542525 SUCCESS  56
010010111  260  222  249  260  255  238  262  246  6.338589 0.609362 SUCCESS  57
010011011  226  248  233  243  258  251  262  235  4.707471 0.788335 SUCCESS  58
010011111  253  266  241  237  257  258  260  243  5.208457 0.735081 SUCCESS  59
010100011  239  223  277  264  228  269  239  269 14.710250 0.065030 SUCCESS  60
010100111  231  256  239  236  220  255  287  261 13.679680 0.090506 SUCCESS  61
010101011  270  220  260  255  260  229  256  270 12.341951 0.136587 SUCCESS  62
010101111  264  231  241  271  214  223  248  262 12.657583 0.124187 SUCCESS  63
010110011  257  230  247  227  242  260  237  239  4.238259 0.835012 SUCCESS  64
010110111  268  252  234  226  235  267  196  252 17.148454 0.028600 SUCCESS  65
010111011  250  229  274  238  249  231  258  250  6.848049 0.553112 SUCCESS  66
010111111  248  231  233  262  217  252  252  218  9.205756 0.325237 SUCCESS  67
011000111  254  229  239  227  240  216  215  257 10.455574 0.234494 SUCCESS  68
011001111  242  228  235  237  232  259  259  246  4.201189 0.838531 SUCCESS  69
011010111  278  244  241  237  225  223  241  243  8.605208 0.376686 SUCCESS  70
011011111  228  240  243  255  284  270  254  254 12.079278 0.147702 SUCCESS  71
011101111  260  252  228  216  251  264  222  240  9.803126 0.279117 SUCCESS  72
011111111  261  244  219  239  228  251  230  224  7.855317 0.447729 SUCCESS  73
100000000  240  245  230  239  237  247  267  237  3.713971 0.881964 SUCCESS  74
100010000  236  252  203  243  260  228  279  259 15.972778 0.042771 SUCCESS  75
100100000  256  241  244  242  221  264  237  222  6.886179 0.548962 SUCCESS  76
100101000  208  243  255  244  253  250  245  240  6.590671 0.581369 SUCCESS  77
100110000  265  269  241  249  240  257  246  285 12.477525 0.131136 SUCCESS  78
100111000  253  239  250  245  217  247  255  261  5.454184 0.708111 SUCCESS  79
101000000  238  245  251  217  251  257  239  219  7.167917 0.518629 SUCCESS  80
101000100  229  258  239  274  238  235  263  251  7.898743 0.443423 SUCCESS  81
101001000  241  248  274  261  250  256  222  217 11.027524 0.200145 SUCCESS  82
101001100  223  256  225  217  255  251  255  256  8.954733 0.346129 SUCCESS  83
101010000  238  236  239  217  281  238  227  246 10.844288 0.210679 SUCCESS  84
101010100  242  233  243  229  213  230  227  258  8.525770 0.383864 SUCCESS  85
101011000  252  223  243  227  253  215  220  224 11.510505 0.174416 SUCCESS  86
101011100  255  244  255  242  258  238  230  229  3.810356 0.873816 SUCCESS  87
101100000  263  260  236  257  234  223  221  257  8.851994 0.354935 SUCCESS  88
101100100  228  252  245  248  235  269  285  264 13.157510 0.106544 SUCCESS  89
101101000  248  250  271  237  241  241  245  254  3.984059 0.858559 SUCCESS  90
101101100  238  264  232  248  225  263  249  267  7.895565 0.443738 SUCCESS  91
101110000  224  252  229  230  234  237  245  232  5.068647 0.750214 SUCCESS  92
101110100  261  245  244  256  251  224  247  205 10.243740 0.248334 SUCCESS  93
101111000  238  232  253  237  233  230  230  231  4.275330 0.831467 SUCCESS  94
101111100  246  246  266  218  248  252  266  245  7.305609 0.504047 SUCCESS  95
110000000  242  216  252  258  237  252  249  233  5.551627 0.697314 SUCCESS  96
110000010  234  271  219  248  243  242  257  259  7.896625 0.443633 SUCCESS  97
110000100  221  273  250  235  241  254  232  270 10.210906 0.250534 SUCCESS  98
110001000  242  236  217  235  275  215  261  232 13.230593 0.104158 SUCCESS  99
110001010  250  264  225  252  240  241  253  236  4.359005 0.823368 SUCCESS 100
110010000  247  253  244  250  238  238  240  245  0.908236 0.998764 SUCCESS 101
110010010  215  233  267  257  247  264  269  249 11.468138 0.176558 SUCCESS 102
110010100  205  244  259  236  244  246  261  254  9.337093 0.314662 SUCCESS 103
110011000  286  268  256  259  238  275  229  259 17.483151 0.025453 SUCCESS 104
110011010  247  240  244  216  228  226  245  257  6.657398 0.574007 SUCCESS 105
110100000  245  247  250  250  234  246  212  239  5.263534 0.729074 SUCCESS 106
110100010  245  232  250  263  222  252  275  238  8.815982 0.358057 SUCCESS 107
110100100  249  246  245  272  248  253  237  210  8.956851 0.345949 SUCCESS 108
110101000  245  246  241  219  254  212  224  259 10.172776 0.253108 SUCCESS 109
110101010  268  213  239  213  248  229  249  253 12.202141 0.142410 SUCCESS 110
110101100  236  250  232  213  231  246  253  224  7.947465 0.438619 SUCCESS 111
110110000  242  243  241  249  223  227  248  264  5.036872 0.753628 SUCCESS 112
110110010  236  257  230  253  223  257  269  275 11.414120 0.179320 SUCCESS 113
110110100  240  273  226  249  250  234  255  236  6.458275 0.596039 SUCCESS 114
110111000  229  267  220  217  242  252  247  235  9.438773 0.306643 SUCCESS 115
110111010  239  229  245  257  238  247  245  209  7.210284 0.514124 SUCCESS 116
110111100  239  210  243  239  240  251  244  250  5.580225 0.694136 SUCCESS 117
111000000  232  232  244  221  234  263  243  250  5.606704 0.691192 SUCCESS 118
111000010  238  229  253  219  228  246  219  250  8.073506 0.426323 SUCCESS 119
111000100  258  249  236  243  257  214  257  215 10.044617 0.261908 SUCCESS 120
111000110  240  226  270  239  225  227  262  241  8.598853 0.377257 SUCCESS 121
111001000  266  257  280  234  260  241  240  233 10.322119 0.243141 SUCCESS 122
111001010  228  227  242  240  251  213  241  242  6.800386 0.558315 SUCCESS 123
111001100  272  253  258  261  249  255  237  261  7.671022 0.466247 SUCCESS 124
111010000  275  249  255  267  222  237  210  229 15.049184 0.058196 SUCCESS 125
111010010  274  265  235  264  225  262  255  200 19.307038 0.013301 SUCCESS 126
111010100  254  243  245  229  246  241  251  250  1.793700 0.986696 SUCCESS 127
111010110  223  240  225  227  219  230  237  233  9.014047 0.341112 SUCCESS 128
111011000  268  241  226  255  243  241  250  259  5.479604 0.705299 SUCCESS 129
111011010  279  254  234  228  277  235  253  256 12.964742 0.113069 SUCCESS 130
111011100  237  233  249  247  245  266  235  234  3.692788 0.883723 SUCCESS 131
111100000  225  229  237  231  231  264  237  257  6.784499 0.560052 SUCCESS 132
111100010  241  257  237  260  253  216  246  210 10.659993 0.221718 SUCCESS 133
111100100  264  232  265  208  263  245  257  262 13.240126 0.103850 SUCCESS 134
111100110  251  251  230  247  246  263  253  242  3.157908 0.924060 SUCCESS 135
111101000  260  249  243  258  228  241  240  253  3.538150 0.896209 SUCCESS 136
111101010  249  222  242  217  233  235  246  233  6.727303 0.566320 SUCCESS 137
111101100  232  221  222  258  234  244  277  239 10.902542 0.207283 SUCCESS 138
